id,Response_X,Response_Y
168,121.768692,24.669165
169,121.748829,24.669685
170,121.790206,24.634685
171,121.766748,24.662959
172,121.823128,24.665519
173,121.797691,24.685608
174,121.770329,24.690755
175,121.770356,24.69055
176,121.768498,24.699642
177,121.650015,24.665879
178,121.651146,24.665849
179,121.715163,24.670008
180,121.803045,24.465471
181,121.798174,24.464016
182,121.803919,24.466003
183,121.741594,24.736955
184,121.756424,24.754833
185,121.757632,24.757353
186,121.749614,24.747733
187,121.766343,24.755793
188,121.754493,24.749744
189,121.755365,24.749544
190,121.748714,24.758198
191,121.757411,24.755537
192,121.754648,24.756237
193,121.742837,24.748731
194,121.755944,24.750989
195,121.759023,24.750454
196,121.7546,24.747421
197,121.753573,24.761564
198,121.745476,24.75105
199,121.753947,24.755626
200,121.755002,24.75671
201,121.757962,24.67213
202,121.760027,24.68042
203,121.767189,24.67858
204,121.77028,24.680541
205,121.762794,24.673193
206,121.771819,24.668593
207,121.765374,24.674773
208,121.768615,24.679686
209,121.777996,24.678215
210,121.768043_121.768043_121.768043_121.768043_121.768043_121.768043,24.681161_24.681161_24.681161_24.681161_24.681161_24.681161
211,121.758398,24.673168
212,121.770494,24.678347
213,121.769109,24.672724
214,121.768547,24.67063
215,121.769646,24.681312
216,121.769908,24.682821
217,121.770191,24.671522
218,121.760201,24.678315
219,121.849613,24.595907
220,121.824033,24.860152
221,121.82059,24.856935
222,121.761948,24.78848
223,121.77094,24.821714
224,121.766963_121.766910,24.668855_24.668870
225,121.768591,24.668919
226,121.784506,24.691256
227,121.649709,24.665841
228,121.649814_121.649723,24.667432_24.667419
229,121.822751,24.667648
230,121.799667,24.685232
231,121.790023,24.634727
232,121.793913,24.63149
233,121.767804,24.666138
234,121.78563,24.746322
235,121.785336,24.746642
236,121.750874,24.744712
237,121.741971,24.74578
238,121.735429,24.747618
239,121.753070_121.753074,24.760056_24.760104
240,121.755648_121.755857_121.769760_121.752140,24.767462_24.744362_24.721745_24.756030
241,121.752101,24.754335
242,121.753531,24.751051
243,121.75223,24.756297
244,121.753084,24.760146
245,121.753792,24.746778
246,121.756395,24.741715
247,121.746281,24.751412
248,121.752629,24.751003
249,121.749413,24.742992
250,121.75638,24.754619
251,121.743652,24.74962
252,121.765764,24.755622
253,121.749495,24.750802
254,121.747839,24.754408
255,121.750433,24.749947
256,121.750272,24.748913
257,121.750753,24.750286
258,121.750003,24.751546
259,121.754711,24.755816
260,121.751832,24.746724
261,121.739783,24.751336
262,121.754511,24.75622
263,121.753259,24.757613
