"X","TownID","TownCode","TownName","VillagCode","VillagEng","VillagName","summ","sum65abov","Center_X","Center_Y","inTwoKM_HOM","inTwoKM_INT","inTwoKM_GRP","inThrKM_HOM","inThrKM_INT","inThrKM_GRP","inFivKM_HOM","inFivKM_INT","inFivKM_GRP","inTenKM_HOM","inTenKM_INT","inTenKM_GRP","labpt_X","labpt_Y"
34,"G01",1000201,"宜蘭市",220,"Minzu Vil.","民族里",2872,561,121.74883359,24.75246904,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.748833586067,24.7524690423827
35,"G01",1000201,"宜蘭市",221,"Jianjun Vil.","建軍里",2013,233,121.74138237,24.75103601,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.741382367534,24.7510360090455
36,"G01",1000201,"宜蘭市",222,"Siyuan Vil.","思源里",5332,441,121.74187457,24.74659093,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.7418745689,24.7465909311083
37,"G01",1000201,"宜蘭市",223,"Wenhua Vil.","文化里",3894,582,121.74683017,24.7496044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.746830163328,24.7496044028895
38,"G01",1000201,"宜蘭市",224,"Fuxing Vil.","復興里",3207,622,121.75117899,24.74718219,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.751178991902,24.7471821870824
39,"G06",1000202,"羅東鎮",232,"Daxin Vil.","大新里",1833,297,121.77326411,24.67774842,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.773264104617,24.6777484212412
40,"G06",1000202,"羅東鎮",233,"Dong'an Vil.","東安里",4474,452,121.77980719,24.67640977,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.779807185542,24.6764097731024
41,"G06",1000202,"羅東鎮",234,"Xinqun Vil.","新群里",3170,369,121.7925845,24.67107536,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.792584501558,24.6710753577903
42,"G06",1000202,"羅東鎮",235,"Luozhuang Vil.","羅莊里",3658,350,121.78065998,24.66890092,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.780659974362,24.6689009166432
43,"G06",1000202,"羅東鎮",236,"Nanchang Vil.","南昌里",2869,388,121.77314551,24.67109308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.773145508029,24.6710930783165
44,"G06",1000202,"羅東鎮",237,"Nanhao Vil.","南豪里",1621,284,121.77022241,24.67000018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.770222413802,24.6700001841174
45,"G06",1000202,"羅東鎮",238,"Chenggong Vil.","成功里",1843,311,121.76628157,24.67153081,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.766281573673,24.6715308102056
46,"G06",1000202,"羅東鎮",239,"Rende Vil.","仁德里",1392,253,121.76644463,24.67392935,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.766444625449,24.67392934691
47,"G06",1000202,"羅東鎮",240,"Hanmin Vil.","漢民里",4768,706,121.76290173,24.67525765,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.762901729752,24.6752576461675
48,"G06",1000202,"羅東鎮",241,"Xi'an Vil.","西安里",3393,439,121.7595422,24.66855446,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.759542201472,24.6685544560368
49,"G06",1000202,"羅東鎮",242,"Beicheng Vil.","北成里",3586,401,121.75352382,24.67922328,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.753523819116,24.6792232840077
50,"G06",1000202,"羅東鎮",243,"Xianwen Vil.","賢文里",4573,767,121.76431903,24.67851001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.764319034105,24.6785100081544
51,"G06",1000202,"羅東鎮",244,"Gongzheng Vil.","公正里",3613,558,121.76885208,24.67983489,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.768852079874,24.6798348918958
52,"G06",1000202,"羅東鎮",245,"Jixiang Vil.","集祥里",1480,241,121.76987595,24.67717314,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.769875950634,24.6771731401734
53,"G06",1000202,"羅東鎮",246,"Xinyi Vil.","信義里",3783,540,121.77136636,24.6830769,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.771366362935,24.6830768987814
54,"G06",1000202,"羅東鎮",247,"Zhulin Vil.","竹林里",3727,548,121.76287899,24.68790315,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.762878987071,24.687903151439
55,"G06",1000202,"羅東鎮",248,"Ren'ai Vil.","仁愛里",4479,458,121.75800744,24.69601019,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.758007435164,24.6960101869095
56,"G06",1000202,"羅東鎮",249,"Shulin Vil.","樹林里",4384,552,121.76138297,24.6825016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.761382972753,24.6825015973939
57,"G06",1000202,"羅東鎮",250,"Guohua Vil.","國華里",5604,630,121.75873991,24.67809603,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.758739906043,24.6780960265785
58,"G06",1000202,"羅東鎮",251,"Weiyang  Vil.","維揚里",3814,495,121.75850304,24.67166184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.758503037268,24.6716618384035
59,"G06",1000202,"羅東鎮",252,"Kaiming Vil.","開明里",1637,344,121.77248794,24.67432408,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.772487934314,24.6743240836179
60,"G06",1000202,"羅東鎮",253,"Zhongshan Vil.","中山里",1613,367,121.76872249,24.67522757,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.768722488203,24.6752275650548
61,"G06",1000202,"羅東鎮",254,"Renhe Vil.","仁和里",1155,257,121.7688936,24.67365767,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.768893592892,24.673657665165
62,"G09",1000203,"蘇澳鎮",255,"Longde Vil.","龍德里",3872,557,121.82528154,24.64029571,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.825281540513,24.6402957080488
63,"G09",1000203,"蘇澳鎮",256,"Dingliao Vil.","頂寮里",1140,136,121.84123667,24.63839051,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.841236668373,24.6383905117573
64,"G09",1000203,"蘇澳鎮",257,"Yongrong Vil.","永榮里",4511,592,121.83613884,24.62398515,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.836138842261,24.6239851515393
65,"G09",1000203,"蘇澳鎮",258,"Cunren Vil.","存仁里",1069,217,121.8459129,24.62593866,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.845912904116,24.6259386590972
66,"G09",1000203,"蘇澳鎮",259,"Gangbian Vil.","港邊里",1601,307,121.85474957,24.61088339,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.854749567439,24.6108833930514
67,"G09",1000203,"蘇澳鎮",260,"Aiding Vil.","隘丁里",3452,448,121.83643234,24.61354733,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.836432339412,24.613547332298
68,"G09",1000203,"蘇澳鎮",261,"Xincheng Vil.","新城里",1477,226,121.81509948,24.60618369,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,121.815099479207,24.6061836861795
69,"G02",1000204,"頭城鎮",281,"Shicheng Vil.","石城里",327,79,121.94036864,24.97974446,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,121.940368642921,24.9797444578808
70,"G02",1000204,"頭城鎮",282,"Da Vil.","大里里",784,155,121.90800337,24.96198395,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,121.908003366915,24.9619839505602
